,X,Y,Z
1,5768.317857,976.5595665,950
2,6238.497023,1095.983565,950
3,6639.106561,1293.455999,950
4,6780.765325,1419.763642,950
5,6922.056906,1454.797107,950
6,7074.426193,1387.862301,950
7,7259.335824,1320.145375,950
8,7379.519665,1306.673315,950
9,7590.280897,1279.153441,950
10,7783.624431,1263.73963,950
11,7812.9359,1594.24492,950
12,7655.586241,1591.011539,950
13,7481.746587,1676.229632,950
14,7311.526865,1602.691448,950
15,7093.092333,1653.874103,950
16,6951.032325,1554.87275,950
17,6793.581977,1459.112096,950
18,6623.808947,1385.379826,950
19,6443.458898,1353.88898,950
20,6284.231517,1416.194649,950
21,6092.018656,1287.138935,950
22,5857.803749,1256.530405,950
23,8138.861559,1735.924261,950
24,7989.018472,1697.151714,950
25,7850.476888,1677.015253,950
26,7691.69824,1692.572804,950
27,6013.860335,1052.561588,950
28,6447.157326,1258.302724,950
