,event,x,y,z,t0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,1,7823.0,1567.5,1173.9,0.05674,,,,,,,0.224398,0.196232,0.161899,,0.100001,,,,,0.282724,0.320557,0.344057,,,,,,,0.105239,0.136072,0.264114,0.369058
1,2,6842.200000000186,1329.7999999999884,1069.7,0.005503,,0.185613,0.12142,0.107754,,0.117087,0.148941,0.174275,0.220774,,,,,,,0.111667,0.100001,0.118334,,,,,,,,0.25412,0.233389,0.152613
2,3,6779.0,1192.0,929.1,0.02135,,0.166576,0.100001,0.107001,,0.131335,,0.180088,,,,,,,,0.216599,0.121266,0.120932,,,,,,,,,0.210951,0.127242
3,4,7793.600000000093,1580.7999999999884,972.1,0.06412,0.533287,,0.522309,,,0.426809,0.388533,0.336365,0.303865,,0.266168,0.100001,,,,0.447689,0.477356,0.52019,,,,,,,0.281395,0.327229,0.644952,0.553424
4,5,7656.0,1578.2000000000116,1039.7,0.054429,,,,,,,0.197626,0.15996,0.154792,,0.133834,0.100001,0.129667,,,0.231543,0.271709,0.102709,,,,,,,0.145855,0.119188,,0.35773
5,6,7803.600000000093,1435.4000000000233,906.4,0.053095,,,,,,,0.227043,0.198043,0.16021,,0.100001,,,,,0.278863,0.314531,0.346197,,,,,,,0.104644,0.134978,0.284746,0.370876
6,7,7994.0,1617.0,1176.2,0.047062,0.333892,,,,,,0.233037,0.206871,0.178204,,0.102902,0.136736,0.176069,,,0.280754,0.322087,0.355421,,,,,,,0.100001,0.129835,0.471392,0.377733
7,8,7314.5,1252.5,796.5,0.010307,,,0.198962,,,,0.100001,0.101669,0.126668,,,,,,,0.162166,0.194665,0.209999,,,,,,,0.241954,0.193787,,0.230321
8,9,6841.399999999907,1330.0999999999767,1074.0,0.009401,0.288981,0.185726,0.121022,0.107855,,0.117522,0.15045,0.176282,0.221616,,,,,,,0.113334,0.100001,0.118334,,,,,,,0.30513,0.252464,0.233315,0.15206
9,10,8006.200000000186,1542.0999999999767,1056.5,0.054585,,,,,,,0.22501,0.19751,0.158344,,0.100001,,,,,0.279775,0.312608,0.348441,,,,,,,0.103912,0.137578,0.270445,0.368165
10,11,7240.700000000186,1115.5999999999767,714.8,0.010095,,0.236222,0.170141,,,0.117642,0.100001,0.103667,0.132167,,0.229282,,,,,0.15802,0.170852,0.185019,,,,,,,0.241084,0.198918,0.273071,0.200389
11,12,7680.299999999814,1319.9000000000233,1184.9,0.046919,,,,,,,0.247847,0.219847,0.204015,,0.108884,0.140718,0.174217,,,0.289989,0.321988,0.356489,,,,,,,0.100001,0.132002,0.476293,0.392921
12,13,6977.600000000093,1484.7999999999884,1045.6,0.012118,,,0.171438,,,0.123271,0.161756,0.170756,0.228756,,,,,,,0.100001,0.131334,0.168834,,,,,,,0.289188,0.241688,0.325854,0.206221
13,14,7686.299999999814,1561.9000000000233,1053.0,0.028428,0.555336,0.436707,0.356808,,,0.261642,0.239288,0.219288,0.203121,,0.106601,0.126767,0.170266,,,0.279535,0.311535,0.347035,,,,,,,0.100001,0.125001,0.475669,0.385207
14,15,6715.5,1487.7999999999884,1095.9,0.01847,0.323621,0.19951,0.129791,,,,0.196677,0.25801,,,,,,,,0.121001,0.100001,0.119668,,,,,,,,0.314199,0.267955,0.165844
15,16,6837.5,1328.5,1074.1,0.038339,0.136261,0.184486,0.120293,0.107459,,0.118626,0.149431,0.181098,0.220098,,,,,,,0.113502,0.100001,0.117335,,,,,,,0.30209,0.248257,0.231428,0.151653
16,17,7019.700000000186,1524.2000000000116,1062.8,0.017054,,,,,,0.123548,0.151033,0.170032,0.229199,,,,,,,0.100001,0.139168,0.197335,,,,,,,0.277824,,0.344658,0.206115
17,18,6911.600000000093,1454.2999999999884,938.5,0.058156,0.523469,0.40763,0.337137,0.286804,,0.30697,0.100001,0.358168,0.401834,,0.458242,,0.389242,,,0.268363,0.298197,0.34203,,,,,,,0.470567,0.4224,0.457636,0.373798
18,19,7463.200000000186,1586.5999999999767,1028.7,0.047692,,,,,,,0.146644,0.141311,0.152811,,0.159167,0.125335,0.100001,,,0.182425,0.225758,0.256425,,,,,,,0.169933,0.137266,0.203301,0.31151
19,20,7447.399999999907,1586.2000000000116,1036.9,0.008553,,,,,,,0.152049,0.140716,0.155049,,,0.131168,0.100001,,,0.181716,0.237716,,,,,,,,0.177403,0.142903,,0.295898
20,21,7659.299999999814,1586.2000000000116,1045.8,0.009387,,,,,,,0.200834,0.159834,0.155667,,0.132334,0.100001,0.129334,,,0.240204,0.267704,,,,,,,,0.146022,0.118854,,0.353933
21,22,7893.899999999907,1598.0,1107.7,0.016523,,,,,,,0.225847,0.211681,0.171681,,0.100001,,,,,0.282743,0.327076,0.37691,,,,,,,0.100693,0.137527,,0.393775
22,23,6967.0,1435.0,999.0,0.00922,,,0.168334,,,0.100001,0.149121,0.17512,0.226787,,,,,,,0.120458,,0.167457,,,,,,,0.283316,0.25065,,0.199165
23,24,7020.100000000093,1400.2999999999884,963.6,0.053721,0.189558,,0.164667,,,0.100001,0.132287,0.160453,0.21512,,,,,,,0.123615,0.144282,0.170115,,,,,,,0.273761,0.230094,0.147891,0.203943
24,25,6957.5,1660.2000000000116,978.9,0.056205,0.379501,,0.176502,0.153669,,0.142835,0.174787,0.198454,0.255621,,,,,,,0.11644,0.137773,0.173939,,,,,,,0.256539,0.283373,0.100001,0.212058
25,26,7634.899999999907,1575.7000000000116,823.1,0.0875,0.700672,0.604122,0.504184,,,0.420516,0.397049,0.358882,0.369882,,0.112512,0.296844,0.326678,,,0.445641,0.475475,0.507308,,,,,,,0.100001,0.310501,0.645838,0.545456
26,27,7793.700000000186,1665.4000000000233,1124.1,0.052498,,,,,,,0.227887,0.202554,0.19172,,0.108752,0.114585,0.143918,,,0.264509,0.321009,0.353342,,,,,,,0.104834,0.100001,0.268148,0.38964
27,28,7840.700000000186,1592.7000000000116,1072.0,0.016694,,,,,,,0.227893,0.199392,0.171226,,0.100001,0.130334,0.164168,,,0.29557,0.345236,0.35357,,,,,,,0.115702,0.134535,,0.381757
28,29,7729.0,1487.4000000000233,1128.0,0.021512,0.439721,0.366559,,,,,,0.19697,0.177971,,,,,,,0.209624,0.234124,0.276457,,,,,,,0.100001,0.111001,0.395887,0.309225
29,30,7866.0,1625.2999999999884,1207.0,0.019792,0.549725,0.439744,0.341533,,,,0.209592,0.184926,0.154592,,0.100001,0.142501,0.188167,,,0.26979,0.316623,0.348957,,,,,,,0.112766,0.1356,0.480225,0.37541
30,31,7137.399999999907,1414.2000000000116,961.2,0.052212,,,,,,0.100001,0.102574,0.129574,0.179908,,,,,,,0.133024,0.153358,0.186524,,,,,,,0.245873,0.20954,0.13248,0.24868
31,32,5824.100000000093,960.7000000000116,907.1,0.054148,0.100001,0.169874,0.249939,,,,,0.431595,0.478929,,,,,,,0.332116,0.299783,0.247283,,,,,,,0.326153,0.513485,0.125335,0.214374
32,33,5875.200000000186,891.7000000000116,946.6,0.024596,0.100001,0.156376,0.250381,,,,,0.40887,0.465204,,,,,,,0.312704,0.279204,0.236204,,,,,,,0.534157,,0.114501,0.201876
33,34,7837.700000000186,1686.5999999999767,1073.5,0.053445,0.321561,,,,,,,0.200756,0.182923,,0.109017,,,,,0.259494,0.311326,0.336326,,,,,,,0.100001,0.118834,0.464394,0.373883
34,35,7904.899999999907,1610.7999999999884,1111.1,0.078548,,,,,,,0.100001,0.307335,0.279834,,0.203173,0.235006,0.276006,,,0.386621,0.424454,0.460621,,,,,,,0.203705,0.232704,0.372746,0.494511
35,36,7222.899999999907,1081.2999999999884,795.8,0.005315,,0.229634,0.173246,,,0.117246,0.100001,0.105002,0.132334,,,,,,,0.159175,0.171176,0.184509,,,,,,,0.235972,0.198139,0.271332,0.199134
36,37,7489.100000000093,1308.9000000000233,1061.8,0.019535,,,,,,,0.147334,0.127168,0.100001,,0.176257,,,,,0.209309,0.231476,,,,,,,,0.198613,0.180946,0.425192,0.26329
37,38,5933.299999999814,1223.2999999999884,1073.2,0.015197,0.117168,0.122183,0.193491,,,,,0.354762,,,,,,,,0.268126,0.222459,0.190626,,,,,,,,0.445095,0.100001,0.154849
38,39,7656.899999999907,1590.2999999999884,1046.9,0.036072,,,,,,,0.199366,0.162366,0.156199,,0.133668,0.100001,0.129334,,,0.23896,0.279126,0.173127,,,,,,,0.146231,0.118567,,0.35634
39,40,6842.600000000093,1318.5999999999767,1077.4,0.00938,,0.183831,0.119931,0.107097,,0.116597,0.148089,0.175256,0.217756,,,,,,,0.113168,0.100001,0.116834,,,,,,,0.302672,0.248006,0.229941,0.150665
40,41,7219.100000000093,1059.0,994.1,0.005311,,0.230428,0.171875,,,0.116709,0.100001,0.104501,0.131834,,,,,,,0.156381,0.170381,0.182547,,,,,,,0.232772,0.198771,0.271927,0.198594
41,42,7459.100000000093,1282.0,977.5,0.016535,0.459667,0.360995,0.250865,,,0.169699,0.123001,0.100001,0.116668,,0.181704,0.152704,0.173703,,,0.208423,0.217423,0.246089,,,,,,,0.204527,0.175527,0.397,0.273329
42,43,7298.399999999907,1540.5,981.8,0.003472,,,,,,0.109608,0.103662,0.103663,0.130496,,0.161001,0.127001,0.100001,,,0.126871,0.155537,0.194371,,,,,,,0.178152,0.143319,,0.226358
43,44,7791.0,1492.5,1022.9,0.005747,,,,,,,0.18485,0.16035,0.136183,,0.100001,0.109001,0.149001,,,0.243628,0.267295,0.315462,,,,,,,0.126136,0.11947,,0.335626
44,45,6533.899999999907,1409.7999999999884,1117.6,0.013845,0.254124,0.158632,0.129411,,,,,0.271114,,,,,,,,0.165168,0.129834,0.100001,,,,,,,,0.343238,0.204457,0.128132
